BW    ,SF,PS ,SNR,BER      ,RSSI        ,ToA      ,BER,RSSI,ToA,C0  ,C1  ,C2  ,L
125000,10,30 ,-20,0.0076672,-137.0309002,0.1982462,10 ,43  ,18 ,0.50,0.50,0.00,1
125000,10,30 ,-10,0.0000002,-127.0309002,0.1982462,0  ,65  ,18 ,0.50,0.50,0.00,1
125000,10,30 ,0  ,0.0000002,-117.0309002,0.1982462,0  ,86  ,18 ,0.50,0.50,0.00,1
125000,10,50 ,-40,0.0494002,-157.0309002,0.2310142,70 ,0   ,21 ,0.00,0.00,1.00,2
125000,10,50 ,-30,0.0464002,-147.0309002,0.2310142,66 ,21  ,21 ,0.00,0.00,1.00,2
125000,10,50 ,-20,0.0146002,-137.0309002,0.2310142,20 ,43  ,21 ,0.50,0.50,0.00,1
125000,10,50 ,-10,0.0000002,-127.0309002,0.2310142,0  ,65  ,21 ,0.50,0.50,0.00,1
125000,10,50 ,0  ,0.0000002,-117.0309002,0.2310142,0  ,86  ,21 ,0.50,0.50,0.00,1
125000,10,70 ,-40,0.0495712,-157.0309002,0.2310142,70 ,0   ,21 ,0.00,0.00,1.00,2
125000,10,70 ,-30,0.0482862,-147.0309002,0.2310142,68 ,21  ,21 ,0.00,0.00,1.00,2
125000,10,70 ,-20,0.0121432,-137.0309002,0.2310142,17 ,43  ,21 ,0.50,0.50,0.00,1
125000,10,70 ,-10,0.0000002,-127.0309002,0.2310142,0  ,65  ,21 ,0.50,0.50,0.00,1
125000,10,70 ,0  ,0.0000002,-117.0309002,0.2310142,0  ,86  ,21 ,0.50,0.50,0.00,1
125000,10,90 ,-40,0.0487782,-157.0309002,0.2637822,69 ,0   ,24 ,0.00,0.00,1.00,2
125000,10,90 ,-30,0.0474442,-147.0309002,0.2637822,67 ,21  ,24 ,0.00,0.00,1.00,2
125000,10,90 ,-20,0.0106672,-137.0309002,0.2637822,15 ,43  ,24 ,0.50,0.50,0.00,1
125000,10,90 ,-10,0.0000002,-127.0309002,0.2637822,0  ,65  ,24 ,0.50,0.50,0.00,1
125000,10,90 ,0  ,0.0000002,-117.0309002,0.2637822,0  ,86  ,24 ,0.50,0.50,0.00,1
125000,10,110,-40,0.0521822,-157.0309002,0.2965502,74 ,0   ,27 ,0.00,0.00,1.00,2
125000,10,110,-30,0.0533642,-147.0309002,0.2965502,76 ,21  ,27 ,0.00,0.00,1.00,2
125000,10,110,-20,0.0143642,-137.0309002,0.2965502,20 ,43  ,27 ,0.50,0.50,0.00,1
125000,10,110,-10,0.0000002,-127.0309002,0.2965502,0  ,65  ,27 ,0.50,0.50,0.00,1
125000,10,110,0  ,0.0000002,-117.0309002,0.2965502,0  ,86  ,27 ,0.50,0.50,0.00,1
125000,11,10 ,-40,0.0500002,-157.0309002,0.3309572,71 ,0   ,31 ,0.00,0.00,1.00,2
125000,11,10 ,-30,0.0518182,-147.0309002,0.3309572,74 ,21  ,31 ,0.00,0.00,1.00,2
125000,11,10 ,-20,0.0000002,-137.0309002,0.3309572,0  ,43  ,31 ,0.50,0.50,0.00,1
125000,11,10 ,-10,0.0000002,-127.0309002,0.3309572,0  ,65  ,31 ,0.50,0.50,0.00,1
125000,11,10 ,0  ,0.0000002,-117.0309002,0.3309572,0  ,86  ,31 ,0.50,0.50,0.00,1
125000,11,30 ,-40,0.0512122,-157.0309002,0.3964932,73 ,0   ,37 ,0.00,0.00,1.00,2
125000,11,30 ,-30,0.0448482,-147.0309002,0.3964932,64 ,21  ,37 ,0.00,0.00,1.00,2
125000,11,30 ,-20,0.0000002,-137.0309002,0.3964932,0  ,43  ,37 ,0.50,0.50,0.00,0
125000,11,30 ,-10,0.0000002,-127.0309002,0.3964932,0  ,65  ,37 ,0.50,0.50,0.00,1
125000,11,30 ,0  ,0.0000002,-117.0309002,0.3964932,0  ,86  ,37 ,0.50,0.50,0.00,1
125000,11,50 ,-40,0.0496362,-157.0309002,0.3964932,70 ,0   ,37 ,0.00,0.00,1.00,2
125000,11,50 ,-30,0.0465452,-147.0309002,0.3964932,66 ,21  ,37 ,0.00,0.00,1.00,2
125000,11,50 ,-20,0.0081822,-137.0309002,0.3964932,11 ,43  ,37 ,0.50,0.50,0.00,0
125000,11,50 ,-10,0.0000002,-127.0309002,0.3964932,0  ,65  ,37 ,0.50,0.50,0.00,1
125000,11,50 ,0  ,0.0000002,-117.0309002,0.3964932,0  ,86  ,37 ,0.50,0.50,0.00,1
125000,11,70 ,-40,0.0522082,-157.0309002,0.4620292,74 ,0   ,43 ,0.00,0.00,1.00,2
125000,11,70 ,-30,0.0479222,-147.0309002,0.4620292,68 ,21  ,43 ,0.00,0.00,1.00,2
125000,11,70 ,-20,0.0002602,-137.0309002,0.4620292,0  ,43  ,43 ,0.50,0.50,0.00,0
125000,11,70 ,-10,0.0000002,-127.0309002,0.4620292,0  ,65  ,43 ,0.50,0.50,0.00,1
125000,11,70 ,0  ,0.0000002,-117.0309002,0.4620292,0  ,86  ,43 ,0.50,0.50,0.00,1
125000,11,90 ,-40,0.0515152,-157.0309002,0.5275652,73 ,0   ,49 ,0.00,0.00,1.00,2
125000,11,90 ,-30,0.0473742,-147.0309002,0.5275652,67 ,21  ,49 ,0.00,0.00,1.00,2
125000,11,90 ,-20,0.0014142,-137.0309002,0.5275652,2  ,43  ,49 ,0.50,0.50,0.00,0
125000,11,90 ,-10,0.0000002,-127.0309002,0.5275652,0  ,65  ,49 ,0.50,0.50,0.00,0
125000,11,90 ,0  ,0.0000002,-117.0309002,0.5275652,0  ,86  ,49 ,0.50,0.50,0.00,1
125000,11,110,-40,0.0487602,-157.0309002,0.5275652,69 ,0   ,49 ,0.00,0.00,1.00,2
125000,11,110,-30,0.0481822,-147.0309002,0.5275652,68 ,21  ,49 ,0.00,0.00,1.00,2
125000,11,110,-20,0.0051242,-137.0309002,0.5275652,7  ,43  ,49 ,0.50,0.50,0.00,0
125000,11,110,-10,0.0000002,-127.0309002,0.5275652,0  ,65  ,49 ,0.50,0.50,0.00,0
125000,11,110,0  ,0.0000002,-117.0309002,0.5275652,0  ,86  ,49 ,0.50,0.50,0.00,1
125000,12,10 ,-40,0.0458332,-157.0309002,0.6619142,65 ,0   ,62 ,0.00,0.00,1.00,2
125000,12,10 ,-30,0.0450002,-147.0309002,0.6619142,64 ,21  ,62 ,0.00,0.00,1.00,2
125000,12,10 ,-20,0.0000002,-137.0309002,0.6619142,0  ,43  ,62 ,0.50,0.50,0.00,0
125000,12,10 ,-10,0.0000002,-127.0309002,0.6619142,0  ,65  ,62 ,0.50,0.50,0.00,0
125000,12,10 ,0  ,0.0000002,-117.0309002,0.6619142,0  ,86  ,62 ,0.50,0.50,0.00,0
125000,12,30 ,-40,0.0511112,-157.0309002,0.7929862,73 ,0   ,74 ,0.00,0.00,1.00,2
125000,12,30 ,-30,0.0461112,-147.0309002,0.7929862,65 ,21  ,74 ,0.00,0.00,1.00,2
125000,12,30 ,-20,0.0000002,-137.0309002,0.7929862,0  ,43  ,74 ,0.50,0.50,0.00,0
125000,12,30 ,-10,0.0000002,-127.0309002,0.7929862,0  ,65  ,74 ,0.50,0.50,0.00,0
125000,12,30 ,0  ,0.0000002,-117.0309002,0.7929862,0  ,86  ,74 ,0.50,0.50,0.00,0
125000,12,50 ,-40,0.0476672,-157.0309002,0.7929862,68 ,0   ,74 ,0.00,0.00,1.00,2
125000,12,50 ,-30,0.0463332,-147.0309002,0.7929862,66 ,21  ,74 ,0.00,0.00,1.00,2
125000,12,50 ,-20,0.0000002,-137.0309002,0.7929862,0  ,43  ,74 ,0.50,0.50,0.00,0
125000,12,50 ,-10,0.0000002,-127.0309002,0.7929862,0  ,65  ,74 ,0.50,0.50,0.00,0
125000,12,50 ,0  ,0.0000002,-117.0309002,0.7929862,0  ,86  ,74 ,0.50,0.50,0.00,0
125000,12,70 ,-40,0.0508332,-157.0309002,0.9240582,72 ,0   ,87 ,0.00,0.00,1.00,2
125000,12,70 ,-30,0.0421432,-147.0309002,0.9240582,60 ,21  ,87 ,0.00,0.00,1.00,2
125000,12,70 ,-20,0.0033332,-137.0309002,0.9240582,4  ,43  ,87 ,0.50,0.50,0.00,0
125000,12,70 ,-10,0.0000002,-127.0309002,0.9240582,0  ,65  ,87 ,0.50,0.50,0.00,0
125000,12,70 ,0  ,0.0000002,-117.0309002,0.9240582,0  ,86  ,87 ,0.50,0.50,0.00,0
125000,12,90 ,-40,0.0494442,-157.0309002,0.9240582,70 ,0   ,87 ,0.00,0.00,1.00,2
125000,12,90 ,-30,0.0403702,-147.0309002,0.9240582,57 ,21  ,87 ,0.00,0.00,1.00,2
125000,12,90 ,-20,0.0000002,-137.0309002,0.9240582,0  ,43  ,87 ,0.50,0.50,0.00,0
125000,12,90 ,-10,0.0000002,-127.0309002,0.9240582,0  ,65  ,87 ,0.50,0.50,0.00,0
125000,12,90 ,0  ,0.0000002,-117.0309002,0.9240582,0  ,86  ,87 ,0.50,0.50,0.00,0
125000,12,110,-40,0.0489392,-157.0309002,1.0551302,69 ,0   ,99 ,0.00,0.00,1.00,2
125000,12,110,-30,0.0429552,-147.0309002,1.0551302,61 ,21  ,99 ,0.00,0.00,0.99,2
125000,12,110,-20,0.0000002,-137.0309002,1.0551302,0  ,43  ,99 ,0.50,0.50,0.00,0
125000,12,110,-10,0.0000002,-127.0309002,1.0551302,0  ,65  ,99 ,0.50,0.50,0.00,0
125000,12,110,0  ,0.0000002,-117.0309002,1.0551302,0  ,86  ,99 ,0.50,0.50,0.00,0
250000,7 ,10 ,-40,0.0442862,-154.0206002,0.0123902,63 ,6   ,1  ,0.00,0.00,1.00,2
