BER     ,RSSI        ,ToA
0.000002,-121.0103002,0.014438
0.000002,-111.0103002,0.014438
0.532502,-151.0103002,0.014438
0.460002,-141.0103002,0.014438
0.457502,-131.0103002,0.014438
0.000002,-121.0103002,0.014438
0.000002,-111.0103002,0.014438
0.489292,-151.0103002,0.016486
0.492862,-141.0103002,0.016486
0.416072,-131.0103002,0.016486
0.000002,-121.0103002,0.016486
0.000002,-111.0103002,0.016486
0.509722,-151.0103002,0.018534
0.516672,-141.0103002,0.018534
0.437502,-131.0103002,0.018534
0.000002,-121.0103002,0.018534
0.000002,-111.0103002,0.018534
0.500002,-151.0103002,0.020582
0.518182,-141.0103002,0.020582
0.426142,-131.0103002,0.020582
0.000002,-121.0103002,0.020582
0.000002,-111.0103002,0.020582
0.577782,-151.0103002,0.024781
0.522222,-141.0103002,0.024781
0.311112,-131.0103002,0.024781
0.000002,-121.0103002,0.024781
0.000002,-111.0103002,0.024781
0.470372,-151.0103002,0.024781
0.500002,-141.0103002,0.024781
0.240742,-131.0103002,0.024781
0.000002,-121.0103002,0.024781
0.000002,-111.0103002,0.024781
0.477782,-151.0103002,0.028877
0.484442,-141.0103002,0.028877
0.331112,-131.0103002,0.028877
0.000002,-121.0103002,0.028877
0.000002,-111.0103002,0.028877
0.530162,-151.0103002,0.032973
0.479372,-141.0103002,0.032973
0.312702,-131.0103002,0.032973
0.000002,-121.0103002,0.032973
0.000002,-111.0103002,0.032973
0.493832,-151.0103002,0.032973
0.477782,-141.0103002,0.032973
0.311112,-131.0103002,0.032973
0.000002,-121.0103002,0.032973
0.000002,-111.0103002,0.032973
0.482832,-151.0103002,0.037069
0.492932,-141.0103002,0.037069
0.370712,-131.0103002,0.037069
0.000002,-121.0103002,0.037069
0.000002,-111.0103002,0.037069
0.510002,-151.0103002,0.041370
0.500002,-141.0103002,0.041370
0.120002,-131.0103002,0.041370
0.000002,-121.0103002,0.041370
0.000002,-111.0103002,0.041370
0.476672,-151.0103002,0.049562
