BW      SF  PS   SNR  BER        RSSI          ToA  L
250000  11  50   0    0.0000002  -114.0206002  0.1982462  1
250000  11  70   -40  0.0485712  -154.0206002  0.2310142  2
250000  11  70   -30  0.0505192  -144.0206002  0.2310142  2
250000  11  70   -20  0.0019482  -134.0206002  0.2310142  1
250000  11  70   -10  0.0000002  -124.0206002  0.2310142  1
250000  11  70   0    0.0000002  -114.0206002  0.2310142  1
250000  11  90   -40  0.0487882  -154.0206002  0.2637822  2
250000  11  90   -30  0.0472732  -144.0206002  0.2637822  2
250000  11  90   -20  0.0054552  -134.0206002  0.2637822  1
250000  11  90   -10  0.0000002  -124.0206002  0.2637822  1
250000  11  90   0    0.0000002  -114.0206002  0.2637822  1
250000  11  110  -40  0.0499172  -154.0206002  0.2637822  2
250000  11  110  -30  0.0471072  -144.0206002  0.2637822  2
250000  11  110  -20  0.0005792  -134.0206002  0.2637822  1
250000  11  110  -10  0.0000002  -124.0206002  0.2637822  1
250000  11  110  0    0.0000002  -114.0206002  0.2637822  1
250000  12  10   -40  0.0475002  -154.0206002  0.3309572  2
250000  12  10   -30  0.0541672  -144.0206002  0.3309572  2
250000  12  10   -20  0.0000002  -134.0206002  0.3309572  1
250000  12  10   -10  0.0000002  -124.0206002  0.3309572  1
250000  12  10   0    0.0000002  -114.0206002  0.3309572  1
250000  12  30   -40  0.0466672  -154.0206002  0.3964932  2
250000  12  30   -30  0.0419442  -144.0206002  0.3964932  2
250000  12  30   -20  0.0000002  -134.0206002  0.3964932  0
250000  12  30   -10  0.0000002  -124.0206002  0.3964932  1
250000  12  30   0    0.0000002  -114.0206002  0.3964932  1
250000  12  50   -40  0.0520002  -154.0206002  0.3964932  2
250000  12  50   -30  0.0428332  -144.0206002  0.3964932  2
250000  12  50   -20  0.0000002  -134.0206002  0.3964932  0
250000  12  50   -10  0.0000002  -124.0206002  0.3964932  1
250000  12  50   0    0.0000002  -114.0206002  0.3964932  1
250000  12  70   -40  0.0528572  -154.0206002  0.4620292  2
250000  12  70   -30  0.0441672  -144.0206002  0.4620292  2
250000  12  70   -20  0.0144052  -134.0206002  0.4620292  0
250000  12  70   -10  0.0000002  -124.0206002  0.4620292  1
250000  12  70   0    0.0000002  -114.0206002  0.4620292  1
