BW, SF, SNR, PS, BER
10400,12,-10,1080,0.0000004
10400,12,-10,1200,0.0000004
10400,12,0,120,0.0000004
10400,12,0,240,0.0000004
10400,12,0,360,0.0000004
10400,12,0,480,0.0000004
10400,12,0,600,0.0000004
10400,12,0,720,0.0000004
10400,12,0,840,0.0000004
10400,12,0,960,0.0000004
10400,12,0,1080,0.0000004
10400,12,0,1200,0.0000004
15600,7,-40,70,0.0500004
15600,7,-40,140,0.0464294
15600,7,-40,210,0.0447624
15600,7,-40,280,0.0478574
15600,7,-40,350,0.0482864
15600,7,-40,420,0.0471434
15600,7,-40,490,0.0536734
15600,7,-40,560,0.0505364
15600,7,-40,630,0.0528574
15600,7,-40,700,0.0512864
15600,7,-30,70,0.0557144
15600,7,-30,140,0.0557144
15600,7,-30,210,0.0533334
15600,7,-30,280,0.0482144
15600,7,-30,350,0.0531434
15600,7,-30,420,0.0521434
15600,7,-30,490,0.0524494
15600,7,-30,560,0.0483934
15600,7,-30,630,0.0509524
15600,7,-30,700,0.0497144
15600,7,-20,70,0.0442864
15600,7,-20,140,0.0507144
15600,7,-20,210,0.0471434
15600,7,-20,280,0.0500004
15600,7,-20,350,0.0474294
15600,7,-20,420,0.0485714
15600,7,-20,490,0.0424494
15600,7,-20,560,0.0467864
15600,7,-20,630,0.0493654
15600,7,-20,700,0.0445714
15600,7,-10,70,0.0100004
15600,7,-10,140,0.0035714
15600,7,-10,210,0.0042864
15600,7,-10,280,0.0021434
15600,7,-10,350,0.0011434
15600,7,-10,420,0.0007144
15600,7,-10,490,0.0020414
15600,7,-10,560,0.0008934
15600,7,-10,630,0.0012704
15600,7,-10,700,0.0028574
15600,7,0,70,0.0000004
15600,7,0,140,0.0000004
15600,7,0,210,0.0000004
15600,7,0,280,0.0000004
15600,7,0,350,0.0000004
15600,7,0,420,0.0000004
15600,7,0,490,0.0000004
15600,7,0,560,0.0000004
15600,7,0,630,0.0000004
15600,7,0,700,0.0000004
15600,8,-40,80,0.0562504
15600,8,-40,160,0.0525004
15600,8,-40,240,0.0454174
15600,8,-40,320,0.0515624
15600,8,-40,400,0.0490004
15600,8,-40,480,0.0470834
15600,8,-40,560,0.0526794
15600,8,-40,640,0.0500004
15600,8,-40,720,0.0465284
15600,8,-40,800,0.0512504
15600,8,-30,80,0.0587504
15600,8,-30,160,0.0493754
15600,8,-30,240,0.0495834
15600,8,-30,320,0.0478134
15600,8,-30,400,0.0452504
15600,8,-30,480,0.0479174
15600,8,-30,560,0.0462504
15600,8,-30,640,0.0510944
15600,8,-30,720,0.0527784
15600,8,-30,800,0.0485004
15600,8,-20,80,0.0462504
15600,8,-20,160,0.0375004
15600,8,-20,240,0.0429174
15600,8,-20,320,0.0353134
15600,8,-20,400,0.0347504
15600,8,-20,480,0.0383334
15600,8,-20,560,0.0450004
15600,8,-20,640,0.0434384
15600,8,-20,720,0.0415284
15600,8,-20,800,0.0423754
15600,8,-10,80,0.0000004
15600,8,-10,160,0.0000004
15600,8,-10,240,0.0000004
15600,8,-10,320,0.0000004
15600,8,-10,400,0.0000004
15600,8,-10,480,0.0000004
15600,8,-10,560,0.0000004
15600,8,-10,640,0.0000004
15600,8,-10,720,0.0000004
15600,8,-10,800,0.0000004
15600,8,0,80,0.0000004
15600,8,0,160,0.0000004
15600,8,0,240,0.0000004
15600,8,0,320,0.0000004
15600,8,0,400,0.0000004
15600,8,0,480,0.0000004
15600,8,0,560,0.0000004
15600,8,0,640,0.0000004
15600,8,0,720,0.0000004
15600,8,0,800,0.0000004
15600,9,-40,90,0.0477784
15600,9,-40,180,0.0500004
15600,9,-40,270,0.0555564
15600,9,-40,360,0.0508334
15600,9,-40,450,0.0517784
15600,9,-40,540,0.0518524
15600,9,-40,630,0.0549214
15600,9,-40,720,0.0495834
15600,9,-40,810,0.0518524
15600,9,-40,900,0.0516674
15600,9,-30,90,0.0533334
15600,9,-30,180,0.0527784
15600,9,-30,270,0.0529634
15600,9,-30,360,0.0525004
15600,9,-30,450,0.0497784
15600,9,-30,540,0.0522224
15600,9,-30,630,0.0461904
15600,9,-30,720,0.0490284
15600,9,-30,810,0.0495064
15600,9,-30,900,0.0474444
15600,9,-20,90,0.0355564
15600,9,-20,180,0.0333334
15600,9,-20,270,0.0314814
15600,9,-20,360,0.0316674
15600,9,-20,450,0.0342224
15600,9,-20,540,0.0325934
15600,9,-20,630,0.0298414
15600,9,-20,720,0.0269444
15600,9,-20,810,0.0361734
15600,9,-20,900,0.0330004
15600,9,-10,90,0.0000004
