"norm","exp","weibull","lnorm","gamma","logis","cauchy","gumbel","binom","triang","empirical"
1,1,1,1,1,1,0.9959,1,1,1,0.8011
1,1,1,1,1,1,0.9968,1,1,1,1
1,1,1,0.9948,1,1,0.9756,1,1,1,0.1989
1,1,1,0.9998,1,1,0.9906,1,1,1,0.3996
1,1,1,1,1,1,0.9943,1,1,1,0.6004
1,1,1,1,1,1,0.9959,1,1,1,0.8011
1,1,1,1,1,1,0.9968,1,1,1,1
1,1,1,0.9948,1,1,0.9756,1,1,1,0.1989
1,1,1,0.9998,1,1,0.9906,1,1,1,0.3996
1,1,1,1,1,1,0.9943,1,1,1,0.6004
1,1,1,1,1,1,0.9959,1,1,1,0.8011
1,1,1,1,1,1,0.9968,1,1,1,1
1,1,1,0.9948,1,1,0.9756,1,1,1,0.1989
1,1,1,0.9998,1,1,0.9906,1,1,1,0.3996
1,1,1,1,1,1,0.9943,1,1,1,0.6004
1,1,1,1,1,1,0.9959,1,1,1,0.8011
1,1,1,1,1,1,0.9968,1,1,1,1
1,1,1,0.9948,1,1,0.9756,1,1,1,0.1989
1,1,1,0.9998,1,1,0.9906,1,1,1,0.3996
1,1,1,1,1,1,0.9943,1,1,1,0.6004
1,1,1,1,1,1,0.9959,1,1,1,0.8011
1,1,1,1,1,1,0.9968,1,1,1,1
1,1,1,0.9948,1,1,0.9756,1,1,1,0.1989
1,1,1,0.9998,1,1,0.9906,1,1,1,0.3996
1,1,1,1,1,1,0.9943,1,1,1,0.6004
1,1,1,1,1,1,0.9959,1,1,1,0.8011
1,1,1,1,1,1,0.9968,1,1,1,1
1,1,1,0.9948,1,1,0.9756,1,1,1,0.1989
1,1,1,0.9998,1,1,0.9906,1,1,1,0.3996
1,1,1,1,1,1,0.9943,1,1,1,0.6004
1,1,1,1,1,1,0.9959,1,1,1,0.8011
1,1,1,1,1,1,0.9968,1,1,1,1
1,1,1,0.9948,1,1,0.9756,1,1,1,0.1989
1,1,1,0.9998,1,1,0.9906,1,1,1,0.3996
1,1,1,1,1,1,0.9943,1,1,1,0.6004
1,1,1,1,1,1,0.9959,1,1,1,0.8011
1,1,1,1,1,1,0.9968,1,1,1,1
1,1,1,0.9948,1,1,0.9756,1,1,1,0.1989
1,1,1,0.9998,1,1,0.9906,1,1,1,0.3996
1,1,1,1,1,1,0.9943,1,1,1,0.6004
1,1,1,1,1,1,0.9959,1,1,1,0.8011
1,1,1,1,1,1,0.9968,1,1,1,1
1,1,1,0.9948,1,1,0.9756,1,1,1,0.1989
1,1,1,0.9998,1,1,0.9906,1,1,1,0.3996
1,1,1,1,1,1,0.9943,1,1,1,0.6004
1,1,1,1,1,1,0.9959,1,1,1,0.8011
1,1,1,1,1,1,0.9968,1,1,1,1
1,1,1,0.9948,1,1,0.9756,1,1,1,0.1989
1,1,1,0.9998,1,1,0.9906,1,1,1,0.3996
1,1,1,1,1,1,0.9943,1,1,1,0.6004
1,1,1,1,1,1,0.9959,1,1,1,0.8011
1,1,1,1,1,1,0.9968,1,1,1,1
1,1,1,0.9948,1,1,0.9756,1,1,1,0.1989
1,1,1,0.9998,1,1,0.9906,1,1,1,0.3996
1,1,1,1,1,1,0.9943,1,1,1,0.6004
1,1,1,1,1,1,0.9959,1,1,1,0.8011
1,1,1,1,1,1,0.9968,1,1,1,1
1,1,1,0.9948,1,1,0.9756,1,1,1,0.1989
1,1,1,0.9998,1,1,0.9906,1,1,1,0.3996
1,1,1,1,1,1,0.9943,1,1,1,0.6004
1,1,1,1,1,1,0.9959,1,1,1,0.8011
1,1,1,1,1,1,0.9968,1,1,1,1
1,1,1,0.9948,1,1,0.9756,1,1,1,0.1989
1,1,1,0.9998,1,1,0.9906,1,1,1,0.3996
1,1,1,1,1,1,0.9943,1,1,1,0.6004
1,1,1,1,1,1,0.9959,1,1,1,0.8011
1,1,1,1,1,1,0.9968,1,1,1,1
1,1,1,0.9948,1,1,0.9756,1,1,1,0.1989
1,1,1,0.9998,1,1,0.9906,1,1,1,0.3996
1,1,1,1,1,1,0.9943,1,1,1,0.6004
1,1,1,1,1,1,0.9959,1,1,1,0.8011
1,1,1,1,1,1,0.9968,1,1,1,1
1,1,1,0.9948,1,1,0.9756,1,1,1,0.1989
1,1,1,0.9998,1,1,0.9906,1,1,1,0.3996
1,1,1,1,1,1,0.9943,1,1,1,0.6004
1,1,1,1,1,1,0.9959,1,1,1,0.8011
1,1,1,1,1,1,0.9968,1,1,1,1
1,1,1,0.9948,1,1,0.9756,1,1,1,0.1989
1,1,1,0.9998,1,1,0.9906,1,1,1,0.3996
1,1,1,1,1,1,0.9943,1,1,1,0.6004
1,1,1,1,1,1,0.9959,1,1,1,0.8011
1,1,1,1,1,1,0.9968,1,1,1,1
1,1,1,0.9948,1,1,0.9756,1,1,1,0.1989
1,1,1,0.9998,1,1,0.9906,1,1,1,0.3996
1,1,1,1,1,1,0.9943,1,1,1,0.6004
1,1,1,1,1,1,0.9959,1,1,1,0.8011
1,1,1,1,1,1,0.9968,1,1,1,1
1,1,1,0.9948,1,1,0.9756,1,1,1,0.1989
1,1,1,0.9998,1,1,0.9906,1,1,1,0.3996
1,1,1,1,1,1,0.9943,1,1,1,0.6004
1,1,1,1,1,1,0.9959,1,1,1,0.8011
1,1,1,1,1,1,0.9968,1,1,1,1
1,1,1,1,1,1,0.9955,1,1,1,0.7348
1,1,1,1,1,1,0.9935,1,1,1,0.5341
1,1,1,0.9996,1,1,0.9886,1,1,1,0.3333
