BW      SF  PS   SNR  BER        RSSI          ToA  U1    U2    U3  L      
125000  10  50   -40  0.494002  -157.0309002  0.2310142  0.64  0.34  0.02  2
125000  10  50   -30  0.464002  -147.0309002  0.2310142  0.45  0.25  0.30  2
125000  10  50   -20  0.146002  -137.0309002  0.2310142  0.53  0.20  0.27  1
125000  10  50   -10  0.000002  -127.0309002  0.2310142  0.31  0.23  0.46  1
125000  10  50   0    0.000002  -117.0309002  0.2310142  0.23  0.35  0.43  1
125000  10  70   -40  0.495712  -157.0309002  0.2310142  0.38  0.34  0.28  2
125000  10  70   -30  0.482862  -147.0309002  0.2310142  0.06  0.31  0.62  2
125000  10  70   -20  0.121432  -137.0309002  0.2310142  0.42  0.27  0.31  1
125000  10  70   -10  0.000002  -127.0309002  0.2310142  0.36  0.08  0.56  1
125000  10  70   0    0.000002  -117.0309002  0.2310142  0.27  0.28  0.45  1
125000  10  90   -40  0.487782  -157.0309002  0.2637822  0.21  0.32  0.47  2
125000  10  90   -30  0.474442  -147.0309002  0.2637822  0.49  0.35  0.16  2
125000  10  90   -20  0.106672  -137.0309002  0.2637822  0.29  0.47  0.24  1
125000  10  90   -10  0.000002  -127.0309002  0.2637822  0.05  0.42  0.53  1
125000  10  90   0    0.000002  -117.0309002  0.2637822  0.29  0.03  0.68  1
125000  10  110  -40  0.521822  -157.0309002  0.2965502  0.51  0.09  0.41  2
125000  10  110  -30  0.533642  -147.0309002  0.2965502  0.29  0.35  0.37  2
125000  10  110  -20  0.143642  -137.0309002  0.2965502  0.29  0.33  0.39  1
125000  10  110  -10  0.000002  -127.0309002  0.2965502  0.45  0.42  0.13  1
125000  10  110  0    0.000002  -117.0309002  0.2965502  0.60  0.02  0.38  1
125000  11  10   -40  0.500002  -157.0309002  0.3309572  0.45  0.22  0.33  2
125000  11  10   -30  0.518182  -147.0309002  0.3309572  0.16  0.58  0.26  2
125000  11  10   -20  0.000002  -137.0309002  0.3309572  0.43  0.36  0.21  1
125000  11  10   -10  0.000002  -127.0309002  0.3309572  0.16  0.22  0.62  1
125000  11  10   0    0.000002  -117.0309002  0.3309572  0.14  0.45  0.41  1
125000  11  30   -40  0.512122  -157.0309002  0.3964932  0.43  0.32  0.25  2
125000  11  30   -30  0.448482  -147.0309002  0.3964932  0.61  0.16  0.23  2
125000  11  30   -20  0.000002  -137.0309002  0.3964932  0.49  0.41  0.11  0
125000  11  30   -10  0.000002  -127.0309002  0.3964932  0.19  0.02  0.79  1
125000  11  30   0    0.000002  -117.0309002  0.3964932  0.58  0.19  0.23  1
125000  11  50   -40  0.496362  -157.0309002  0.3964932  0.42  0.47  0.11  2
125000  11  50   -30  0.465452  -147.0309002  0.3964932  0.46  0.36  0.18  2
125000  11  50   -20  0.081822  -137.0309002  0.3964932  0.14  0.65  0.20  0
125000  11  50   -10  0.000002  -127.0309002  0.3964932  0.46  0.10  0.44  1
125000  11  50   0    0.000002  -117.0309002  0.3964932  0.27  0.01  0.72  1
125000  11  70   -40  0.522082  -157.0309002  0.4620292  0.38  0.57  0.05  2
125000  11  70   -30  0.479222  -147.0309002  0.4620292  0.43  0.20  0.36  2
125000  11  70   -20  0.002602  -137.0309002  0.4620292  0.42  0.22  0.37  0
125000  11  70   -10  0.000002  -127.0309002  0.4620292  0.26  0.69  0.05  1
125000  11  70   0    0.000002  -117.0309002  0.4620292  0.44  0.24  0.32  1
125000  11  90   -40  0.515152  -157.0309002  0.5275652  0.29  0.06  0.65  2
125000  11  90   -30  0.473742  -147.0309002  0.5275652  0.48  0.45  0.08  2
125000  11  90   -20  0.014142  -137.0309002  0.5275652  0.29  0.26  0.45  0
125000  11  90   -10  0.000002  -127.0309002  0.5275652  0.32  0.43  0.25  0
125000  11  90   0    0.000002  -117.0309002  0.5275652  0.40  0.35  0.25  1
125000  11  110  -40  0.487602  -157.0309002  0.5275652  0.37  0.33  0.30  2
125000  11  110  -30  0.481822  -147.0309002  0.5275652  0.19  0.31  0.50  2
125000  11  110  -20  0.051242  -137.0309002  0.5275652  0.12  0.37  0.51  0
125000  11  110  -10  0.000002  -127.0309002  0.5275652  0.35  0.54  0.11  0
125000  11  110  0    0.000002  -117.0309002  0.5275652  0.06  0.70  0.24  1
125000  12  10   -40  0.458332  -157.0309002  0.6619142  0.23  0.29  0.48  2
125000  12  10   -30  0.450002  -147.0309002  0.6619142  0.25  0.24  0.51  2
125000  12  10   -20  0.000002  -137.0309002  0.6619142  0.41  0.38  0.21  0
125000  12  10   -10  0.000002  -127.0309002  0.6619142  0.29  0.31  0.40  0
125000  12  10   0    0.000002  -117.0309002  0.6619142  0.14  0.57  0.28  0
125000  12  30   -40  0.511112  -157.0309002  0.7929862  0.32  0.40  0.29  2
125000  12  30   -30  0.461112  -147.0309002  0.7929862  0.04  0.81  0.15  2
125000  12  30   -20  0.000002  -137.0309002  0.7929862  0.22  0.41  0.38  0
125000  12  30   -10  0.000002  -127.0309002  0.7929862  0.02  0.74  0.24  0
125000  12  30   0    0.000002  -117.0309002  0.7929862  0.08  0.52  0.40  0
125000  12  50   -40  0.476672  -157.0309002  0.7929862  0.53  0.18  0.28  2
125000  12  50   -30  0.463332  -147.0309002  0.7929862  0.34  0.32  0.34  2
125000  12  50   -20  0.000002  -137.0309002  0.7929862  0.33  0.48  0.19  0
125000  12  50   -10  0.000002  -127.0309002  0.7929862  0.23  0.25  0.52  0
125000  12  50   0    0.000002  -117.0309002  0.7929862  0.19  0.41  0.40  0
125000  12  70   -40  0.508332  -157.0309002  0.9240582  0.12  0.42  0.47  2
125000  12  70   -30  0.421432  -147.0309002  0.9240582  0.65  0.07  0.28  2
125000  12  70   -20  0.033332  -137.0309002  0.9240582  0.48  0.20  0.32  0
125000  12  70   -10  0.000002  -127.0309002  0.9240582  0.63  0.02  0.36  0
125000  12  70   0    0.000002  -117.0309002  0.9240582  0.27  0.58  0.14  0
125000  12  90   -40  0.494442  -157.0309002  0.9240582  0.52  0.23  0.25  2
125000  12  90   -30  0.403702  -147.0309002  0.9240582  0.44  0.27  0.29  2
125000  12  90   -20  0.000002  -137.0309002  0.9240582  0.22  0.54  0.24  0
125000  12  90   -10  0.000002  -127.0309002  0.9240582  0.06  0.69  0.26  0
125000  12  90   0    0.000002  -117.0309002  0.9240582  0.46  0.31  0.23  0
125000  12  110  -40  0.489392  -157.0309002  1.0551302  0.21  0.61  0.18  2
125000  12  110  -30  0.429552  -147.0309002  1.0551302  0.14  0.33  0.53  2
125000  12  110  -20  0.000002  -137.0309002  1.0551302  0.16  0.60  0.24  0
125000  12  110  -10  0.000002  -127.0309002  1.0551302  0.51  0.37  0.11  0
125000  12  110  0    0.000002  -117.0309002  1.0551302  0.29  0.38  0.33  0
250000  7   10   -40  0.442862  -154.0206002  0.0123902  0.44  0.48  0.08  2
250000  7   10   -30  0.428572  -144.0206002  0.0123902  0.24  0.45  0.32  2
250000  7   10   -20  0.442862  -134.0206002  0.0123902  0.46  0.39  0.15  2
250000  7   10   -10  0.000002  -124.0206002  0.0123902  0.46  0.20  0.33  1
250000  7   10   0    0.000002  -114.0206002  0.0123902  0.09  0.35  0.56  1
250000  7   30   -40  0.480952  -154.0206002  0.0144382  0.59  0.13  0.28  2
250000  7   30   -30  0.504762  -144.0206002  0.0144382  0.43  0.42  0.14  2
250000  7   30   -20  0.466672  -134.0206002  0.0144382  0.24  0.14  0.62  2
250000  7   30   -10  0.033332  -124.0206002  0.0144382  0.16  0.31  0.53  1
250000  7   30   0    0.000002  -114.0206002  0.0144382  0.11  0.47  0.42  1
250000  7   50   -40  0.482862  -154.0206002  0.0164862  0.93  0.02  0.05  2
250000  7   50   -30  0.494292  -144.0206002  0.0164862  0.25  0.27  0.48  2
250000  7   50   -20  0.488572  -134.0206002  0.0164862  0.26  0.10  0.64  2
250000  7   50   -10  0.025712  -124.0206002  0.0164862  0.36  0.39  0.25  1
250000  7   50   0    0.000002  -114.0206002  0.0164862  0.41  0.32  0.26  1
250000  7   70   -40  0.502042  -154.0206002  0.0185342  0.36  0.26  0.38  2
250000  7   70   -30  0.508162  -144.0206002  0.0185342  0.37  0.52  0.11  2
250000  7   70   -20  0.448982  -134.0206002  0.0185342  0.34  0.40  0.26  2
250000  7   70   -10  0.010202  -124.0206002  0.0185342  0.69  0.26  0.05  1
250000  7   70   0    0.000002  -114.0206002  0.0185342  0.38  0.44  0.17  1
250000  7   90   -40  0.547622  -154.0206002  0.0205822  0.06  0.15  0.79  2
250000  7   90   -30  0.515872  -144.0206002  0.0205822  0.20  0.57  0.23  2
250000  7   90   -20  0.477782  -134.0206002  0.0205822  0.40  0.19  0.40  2
250000  7   90   -10  0.030162  -124.0206002  0.0205822  0.21  0.40  0.40  1
250000  7   90   0    0.000002  -114.0206002  0.0205822  0.49  0.49  0.03  1
250000  7   110  -40  0.488312  -154.0206002  0.0226302  0.18  0.43  0.39  2
250000  7   110  -30  0.470132  -144.0206002  0.0226302  0.38  0.27  0.35  2
250000  7   110  -20  0.457142  -134.0206002  0.0226302  0.24  0.44  0.32  2
250000  7   110  -10  0.009092  -124.0206002  0.0226302  0.38  0.22  0.40  1
250000  7   110  0    0.000002  -114.0206002  0.0226302  0.45  0.46  0.09  1
250000  8   10   -40  0.425002  -154.0206002  0.0247812  0.14  0.37  0.49  2
250000  8   10   -30  0.550002  -144.0206002  0.0247812  0.39  0.17  0.44  2
250000  8   10   -20  0.625002  -134.0206002  0.0247812  0.39  0.25  0.36  2
250000  8   10   -10  0.000002  -124.0206002  0.0247812  0.79  0.10  0.11  1
250000  8   10   0    0.000002  -114.0206002  0.0247812  0.61  0.26  0.13  1
250000  8   30   -40  0.466672  -154.0206002  0.0288772  0.41  0.39  0.20  2
250000  8   30   -30  0.520832  -144.0206002  0.0288772  0.69  0.06  0.25  2
250000  8   30   -20  0.354172  -134.0206002  0.0288772  0.60  0.39  0.01  2
250000  8   30   -10  0.000002  -124.0206002  0.0288772  0.44  0.33  0.23  1
250000  8   30   0    0.000002  -114.0206002  0.0288772  0.22  0.44  0.34  1
250000  8   50   -40  0.497502  -154.0206002  0.0288772  0.65  0.35  0.00  2
250000  8   50   -30  0.450002  -144.0206002  0.0288772  0.29  0.28  0.43  2
250000  8   50   -20  0.412502  -134.0206002  0.0288772  0.40  0.29  0.31  2
250000  8   50   -10  0.000002  -124.0206002  0.0288772  0.38  0.32  0.30  1
250000  8   50   0    0.000002  -114.0206002  0.0288772  0.52  0.05  0.42  1
250000  8   70   -40  0.485712  -154.0206002  0.0329732  0.23  0.45  0.32  2
250000  8   70   -30  0.464292  -144.0206002  0.0329732  0.38  0.32  0.30  2
250000  8   70   -20  0.417862  -134.0206002  0.0329732  0.19  0.39  0.43  2
250000  8   70   -10  0.000002  -124.0206002  0.0329732  0.41  0.38  0.21  1
250000  8   70   0    0.000002  -114.0206002  0.0329732  0.02  0.18  0.80  1
250000  8   90   -40  0.501392  -154.0206002  0.0370692  0.41  0.11  0.48  2
250000  8   90   -30  0.465282  -144.0206002  0.0370692  0.31  0.34  0.36  2
250000  8   90   -20  0.398612  -134.0206002  0.0370692  0.31  0.37  0.32  2
250000  8   90   -10  0.000002  -124.0206002  0.0370692  0.34  0.37  0.29  1
250000  8   90   0    0.000002  -114.0206002  0.0370692  0.45  0.32  0.22  1
250000  8   110  -40  0.512502  -154.0206002  0.0411652  0.48  0.02  0.50  2
250000  8   110  -30  0.518182  -144.0206002  0.0411652  0.13  0.19  0.67  2
250000  8   110  -20  0.457952  -134.0206002  0.0411652  0.35  0.14  0.51  2
250000  8   110  -10  0.000002  -124.0206002  0.0411652  0.48  0.05  0.47  1
250000  8   110  0    0.000002  -114.0206002  0.0411652  0.22  0.67  0.11  1
250000  9   10   -40  0.533332  -154.0206002  0.0495622  0.51  0.34  0.15  2
250000  9   10   -30  0.500002  -144.0206002  0.0495622  0.30  0.41  0.29  2
250000  9   10   -20  0.311112  -134.0206002  0.0495622  0.47  0.00  0.53  2
250000  9   10   -10  0.000002  -124.0206002  0.0495622  0.30  0.32  0.39  1
250000  9   10   0    0.000002  -114.0206002  0.0495622  0.33  0.37  0.30  1
250000  9   30   -40  0.503702  -154.0206002  0.0495622  0.17  0.42  0.41  2
250000  9   30   -30  0.488892  -144.0206002  0.0495622  0.35  0.51  0.14  2
250000  9   30   -20  0.322222  -134.0206002  0.0495622  0.17  0.39  0.44  2
250000  9   30   -10  0.000002  -124.0206002  0.0495622  0.82  0.00  0.18  1
250000  9   30   0    0.000002  -114.0206002  0.0495622  0.31  0.41  0.28  1
250000  9   50   -40  0.537782  -154.0206002  0.0577542  0.04  0.51  0.45  2
250000  9   50   -30  0.473332  -144.0206002  0.0577542  0.29  0.35  0.36  2
250000  9   50   -20  0.315562  -134.0206002  0.0577542  0.31  0.33  0.37  2
250000  9   50   -10  0.000002  -124.0206002  0.0577542  0.71  0.08  0.21  1
250000  9   50   0    0.000002  -114.0206002  0.0577542  0.90  0.03  0.08  1
250000  9   70   -40  0.519052  -154.0206002  0.0659462  0.43  0.21  0.36  2
250000  9   70   -30  0.490482  -144.0206002  0.0659462  0.06  0.44  0.50  2
250000  9   70   -20  0.328572  -134.0206002  0.0659462  0.11  0.13  0.76  2
250000  9   70   -10  0.000002  -124.0206002  0.0659462  0.53  0.03  0.44  1
250000  9   70   0    0.000002  -114.0206002  0.0659462  0.36  0.32  0.32  1
250000  9   90   -40  0.534572  -154.0206002  0.0659462  0.38  0.00  0.62  2
250000  9   90   -30  0.544442  -144.0206002  0.0659462  0.32  0.41  0.26  2
250000  9   90   -20  0.323462  -134.0206002  0.0659462  0.43  0.53  0.04  2
250000  9   90   -10  0.000002  -124.0206002  0.0659462  0.24  0.24  0.52  1
250000  9   90   0    0.000002  -114.0206002  0.0659462  0.38  0.14  0.49  1
250000  9   110  -40  0.504042  -154.0206002  0.0741382  0.18  0.57  0.24  2
250000  9   110  -30  0.534342  -144.0206002  0.0741382  0.87  0.09  0.03  2
250000  9   110  -20  0.267682  -134.0206002  0.0741382  0.37  0.34  0.29  2
250000  9   110  -10  0.000002  -124.0206002  0.0741382  0.63  0.05  0.32  1
250000  9   110  0    0.000002  -114.0206002  0.0741382  0.42  0.14  0.44  1
250000  10  10   -40  0.430002  -154.0206002  0.0827392  0.34  0.38  0.28  2
250000  10  10   -30  0.560002  -144.0206002  0.0827392  0.31  0.23  0.46  2
250000  10  10   -20  0.120002  -134.0206002  0.0827392  0.46  0.28  0.26  1
250000  10  10   -10  0.000002  -124.0206002  0.0827392  0.43  0.06  0.51  1
250000  10  10   0    0.000002  -114.0206002  0.0827392  0.43  0.08  0.49  1
250000  10  30   -40  0.503332  -154.0206002  0.0991232  0.33  0.26  0.41  2
250000  10  30   -30  0.530002  -144.0206002  0.0991232  0.40  0.47  0.13  2
250000  10  30   -20  0.103332  -134.0206002  0.0991232  0.33  0.51  0.15  1
250000  10  30   -10  0.030002  -124.0206002  0.0991232  0.18  0.29  0.54  1
250000  10  30   0    0.000002  -114.0206002  0.0991232  0.67  0.27  0.06  1
250000  10  50   -40  0.472002  -154.0206002  0.1155072  0.37  0.29  0.34  2
250000  10  50   -30  0.452002  -144.0206002  0.1155072  0.32  0.10  0.58  2
250000  10  50   -20  0.122002  -134.0206002  0.1155072  0.58  0.12  0.31  1
250000  10  50   -10  0.000002  -124.0206002  0.1155072  0.37  0.31  0.32  1
250000  10  50   0    0.000002  -114.0206002  0.1155072  0.43  0.10  0.47  1
250000  10  70   -40  0.515712  -154.0206002  0.1155072  0.35  0.37  0.27  2
250000  10  70   -30  0.517142  -144.0206002  0.1155072  0.53  0.04  0.43  2
250000  10  70   -20  0.121432  -134.0206002  0.1155072  0.31  0.37  0.32  1
250000  10  70   -10  0.000002  -124.0206002  0.1155072  0.30  0.49  0.22  1
250000  10  70   0    0.000002  -114.0206002  0.1155072  0.25  0.52  0.23  1
250000  10  90   -40  0.485562  -154.0206002  0.1318912  0.31  0.52  0.18  2
250000  10  90   -30  0.456672  -144.0206002  0.1318912  0.54  0.10  0.35  2
250000  10  90   -20  0.173332  -134.0206002  0.1318912  0.34  0.34  0.32  1
250000  10  90   -10  0.000002  -124.0206002  0.1318912  0.43  0.43  0.13  1
250000  10  90   0    0.000002  -114.0206002  0.1318912  0.07  0.50  0.43  1
250000  10  110  -40  0.484552  -154.0206002  0.1482752  0.09  0.13  0.77  2
250000  10  110  -30  0.480912  -144.0206002  0.1482752  0.30  0.18  0.51  2
250000  10  110  -20  0.197272  -134.0206002  0.1482752  0.63  0.23  0.14  1
250000  10  110  -10  0.000002  -124.0206002  0.1482752  0.45  0.09  0.46  1
250000  10  110  0    0.000002  -114.0206002  0.1482752  0.46  0.48  0.06  1
250000  11  10   -40  0.527272  -154.0206002  0.1654782  0.15  0.70  0.14  2
250000  11  10   -30  0.581822  -144.0206002  0.1654782  0.36  0.25  0.39  2
250000  11  10   -20  0.000002  -134.0206002  0.1654782  0.34  0.02  0.64  1
250000  11  10   -10  0.000002  -124.0206002  0.1654782  0.49  0.15  0.37  1
250000  11  10   0    0.000002  -114.0206002  0.1654782  0.09  0.03  0.88  1
250000  11  30   -40  0.487882  -154.0206002  0.1982462  0.25  0.44  0.31  2
250000  11  30   -30  0.506062  -144.0206002  0.1982462  0.27  0.26  0.47  2
250000  11  30   -20  0.054552  -134.0206002  0.1982462  0.72  0.06  0.22  1
250000  11  30   -10  0.000002  -124.0206002  0.1982462  0.47  0.45  0.08  1
250000  11  30   0    0.000002  -114.0206002  0.1982462  0.31  0.41  0.28  1
250000  11  50   -40  0.501822  -154.0206002  0.1982462  0.02  0.33  0.65  2
250000  11  50   -30  0.525452  -144.0206002  0.1982462  0.66  0.16  0.18  2
250000  11  50   -20  0.000002  -134.0206002  0.1982462  0.27  0.50  0.23  1
250000  11  50   -10  0.000002  -124.0206002  0.1982462  0.35  0.06  0.60  1
250000  11  50   0    0.000002  -114.0206002  0.1982462  0.54  0.31  0.15  1
250000  11  70   -40  0.485712  -154.0206002  0.2310142  0.20  0.19  0.61  2
250000  11  70   -30  0.505192  -144.0206002  0.2310142  0.09  0.29  0.62  2
250000  11  70   -20  0.019482  -134.0206002  0.2310142  0.51  0.13  0.37  1
250000  11  70   -10  0.000002  -124.0206002  0.2310142  0.62  0.17  0.21  1
250000  11  70   0    0.000002  -114.0206002  0.2310142  0.83  0.05  0.12  1
250000  11  90   -40  0.487882  -154.0206002  0.2637822  0.03  0.45  0.52  2
250000  11  90   -30  0.472732  -144.0206002  0.2637822  0.26  0.43  0.31  2
250000  11  90   -20  0.054552  -134.0206002  0.2637822  0.09  0.17  0.74  1
250000  11  90   -10  0.000002  -124.0206002  0.2637822  0.30  0.26  0.44  1
250000  11  90   0    0.000002  -114.0206002  0.2637822  0.10  0.76  0.14  1
250000  11  110  -40  0.499172  -154.0206002  0.2637822  0.35  0.34  0.32  2
250000  11  110  -30  0.471072  -144.0206002  0.2637822  0.63  0.09  0.28  2
250000  11  110  -20  0.005792  -134.0206002  0.2637822  0.43  0.24  0.33  1
250000  11  110  -10  0.000002  -124.0206002  0.2637822  0.22  0.10  0.68  1
250000  11  110  0    0.000002  -114.0206002  0.2637822  0.86  0.04  0.09  1
250000  12  10   -40  0.475002  -154.0206002  0.3309572  0.53  0.30  0.17  2
250000  12  10   -30  0.541672  -144.0206002  0.3309572  0.13  0.66  0.22  2
250000  12  10   -20  0.000002  -134.0206002  0.3309572  0.32  0.47  0.21  1
