BW      SF  PS   SNR  BER        RSSI          ToA
250000  9   70   -10  0.000002  -124.0206002  0.0659462
250000  9   70   0    0.000002  -114.0206002  0.0659462
250000  9   90   -40  0.534572  -154.0206002  0.0659462
250000  9   90   -30  0.544442  -144.0206002  0.0659462
250000  9   90   -20  0.323462  -134.0206002  0.0659462
250000  9   90   -10  0.000002  -124.0206002  0.0659462
250000  9   90   0    0.000002  -114.0206002  0.0659462
250000  9   110  -40  0.504042  -154.0206002  0.0741382
250000  9   110  -30  0.534342  -144.0206002  0.0741382
250000  9   110  -20  0.267682  -134.0206002  0.0741382
250000  9   110  -10  0.000002  -124.0206002  0.0741382
250000  9   110  0    0.000002  -114.0206002  0.0741382
250000  10  10   -40  0.430002  -154.0206002  0.0827392
250000  10  10   -30  0.560002  -144.0206002  0.0827392
250000  10  10   -20  0.120002  -134.0206002  0.0827392
250000  10  10   -10  0.000002  -124.0206002  0.0827392
250000  10  10   0    0.000002  -114.0206002  0.0827392
250000  10  30   -40  0.503332  -154.0206002  0.0991232
250000  10  30   -30  0.530002  -144.0206002  0.0991232
250000  10  30   -20  0.103332  -134.0206002  0.0991232
250000  10  30   -10  0.030002  -124.0206002  0.0991232
250000  10  30   0    0.000002  -114.0206002  0.0991232
250000  10  50   -40  0.472002  -154.0206002  0.1155072
250000  10  50   -30  0.452002  -144.0206002  0.1155072
250000  10  50   -20  0.122002  -134.0206002  0.1155072
250000  10  50   -10  0.000002  -124.0206002  0.1155072
250000  10  50   0    0.000002  -114.0206002  0.1155072
250000  10  70   -40  0.515712  -154.0206002  0.1155072
250000  10  70   -30  0.517142  -144.0206002  0.1155072
250000  10  70   -20  0.121432  -134.0206002  0.1155072
250000  10  70   -10  0.000002  -124.0206002  0.1155072
250000  10  70   0    0.000002  -114.0206002  0.1155072
250000  10  90   -40  0.485562  -154.0206002  0.1318912
250000  10  90   -30  0.456672  -144.0206002  0.1318912
250000  10  90   -20  0.173332  -134.0206002  0.1318912
250000  10  90   -10  0.000002  -124.0206002  0.1318912
250000  10  90   0    0.000002  -114.0206002  0.1318912
250000  10  110  -40  0.484552  -154.0206002  0.1482752
250000  10  110  -30  0.480912  -144.0206002  0.1482752
250000  10  110  -20  0.197272  -134.0206002  0.1482752
250000  10  110  -10  0.000002  -124.0206002  0.1482752
250000  10  110  0    0.000002  -114.0206002  0.1482752
250000  11  10   -40  0.527272  -154.0206002  0.1654782
250000  11  10   -30  0.581822  -144.0206002  0.1654782
250000  11  10   -20  0.000002  -134.0206002  0.1654782
250000  11  10   -10  0.000002  -124.0206002  0.1654782
250000  11  10   0    0.000002  -114.0206002  0.1654782
250000  11  30   -40  0.487882  -154.0206002  0.1982462
250000  11  30   -30  0.506062  -144.0206002  0.1982462
250000  11  30   -20  0.054552  -134.0206002  0.1982462
250000  11  30   -10  0.000002  -124.0206002  0.1982462
250000  11  30   0    0.000002  -114.0206002  0.1982462
250000  11  50   -40  0.501822  -154.0206002  0.1982462
250000  11  50   -30  0.525452  -144.0206002  0.1982462
250000  11  50   -20  0.000002  -134.0206002  0.1982462
250000  11  50   -10  0.000002  -124.0206002  0.1982462
250000  11  50   0    0.000002  -114.0206002  0.1982462
250000  11  70   -40  0.485712  -154.0206002  0.2310142
250000  11  70   -30  0.505192  -144.0206002  0.2310142
250000  11  70   -20  0.019482  -134.0206002  0.2310142
250000  11  70   -10  0.000002  -124.0206002  0.2310142
250000  11  70   0    0.000002  -114.0206002  0.2310142
250000  11  90   -40  0.487882  -154.0206002  0.2637822
250000  11  90   -30  0.472732  -144.0206002  0.2637822
250000  11  90   -20  0.054552  -134.0206002  0.2637822
250000  11  90   -10  0.000002  -124.0206002  0.2637822
250000  11  90   0    0.000002  -114.0206002  0.2637822
250000  11  110  -40  0.499172  -154.0206002  0.2637822
250000  11  110  -30  0.471072  -144.0206002  0.2637822
250000  11  110  -20  0.005792  -134.0206002  0.2637822
250000  11  110  -10  0.000002  -124.0206002  0.2637822
250000  11  110  0    0.000002  -114.0206002  0.2637822
250000  12  10   -40  0.475002  -154.0206002  0.3309572
250000  12  10   -30  0.541672  -144.0206002  0.3309572
250000  12  10   -20  0.000002  -134.0206002  0.3309572
250000  12  10   -10  0.000002  -124.0206002  0.3309572
250000  12  10   0    0.000002  -114.0206002  0.3309572
250000  12  30   -40  0.466672  -154.0206002  0.3964932
250000  12  30   -30  0.419442  -144.0206002  0.3964932
250000  12  30   -20  0.000002  -134.0206002  0.3964932
250000  12  30   -10  0.000002  -124.0206002  0.3964932
250000  12  30   0    0.000002  -114.0206002  0.3964932
250000  12  50   -40  0.520002  -154.0206002  0.3964932
250000  12  50   -30  0.428332  -144.0206002  0.3964932
250000  12  50   -20  0.000002  -134.0206002  0.3964932
250000  12  50   -10  0.000002  -124.0206002  0.3964932
250000  12  50   0    0.000002  -114.0206002  0.3964932
250000  12  70   -40  0.528572  -154.0206002  0.4620292
250000  12  70   -30  0.441672  -144.0206002  0.4620292
250000  12  70   -20  0.144052  -134.0206002  0.4620292
250000  12  70   -10  0.000002  -124.0206002  0.4620292
250000  12  70   0    0.000002  -114.0206002  0.4620292
250000  12  90   -40  0.533332  -154.0206002  0.4620292
250000  12  90   -30  0.407412  -144.0206002  0.4620292
250000  12  90   -20  0.000002  -134.0206002  0.4620292
250000  12  90   -10  0.000002  -124.0206002  0.4620292
250000  12  90   0    0.000002  -114.0206002  0.4620292
250000  12  110  -40  0.511362  -154.0206002  0.5275652
250000  12  110  -30  0.421212  -144.0206002  0.5275652
250000  12  110  -20  0.090152  -134.0206002  0.5275652
250000  12  110  -10  0.000002  -124.0206002  0.5275652
250000  12  110  0    0.000002  -114.0206002  0.5275652
500000  7   10   -40  0.600002  -151.0103002  0.0061952
500000  7   10   -30  0.414292  -141.0103002  0.0061952
500000  7   10   -20  0.428572  -131.0103002  0.0061952
500000  7   10   -10  0.000002  -121.0103002  0.0061952
500000  7   10   0    0.000002  -111.0103002  0.0061952
500000  7   30   -40  0.528572  -151.0103002  0.0072192
500000  7   30   -30  0.571432  -141.0103002  0.0072192
500000  7   30   -20  0.519052  -131.0103002  0.0072192
500000  7   30   -10  0.023812  -121.0103002  0.0072192
500000  7   30   0    0.000002  -111.0103002  0.0072192
500000  7   50   -40  0.462862  -151.0103002  0.0082432
500000  7   50   -30  0.517142  -141.0103002  0.0082432
500000  7   50   -20  0.502862  -131.0103002  0.0082432
500000  7   50   -10  0.025712  -121.0103002  0.0082432
500000  7   50   0    0.000002  -111.0103002  0.0082432
500000  7   70   -40  0.459182  -151.0103002  0.0092672
500000  7   70   -30  0.475512  -141.0103002  0.0092672
500000  7   70   -20  0.463272  -131.0103002  0.0092672
500000  7   70   -10  0.018372  -121.0103002  0.0092672
500000  7   70   0    0.000002  -111.0103002  0.0092672
500000  7   90   -40  0.511112  -151.0103002  0.0102912
500000  7   90   -30  0.538102  -141.0103002  0.0102912
500000  7   90   -20  0.431752  -131.0103002  0.0102912
500000  7   90   -10  0.019052  -121.0103002  0.0102912
500000  7   90   0    0.000002  -111.0103002  0.0102912
500000  7   110  -40  0.489612  -151.0103002  0.0113152
